起点ID,起点类型,关系名称,终点ID,终点类型,示例
975bf39b1456,诗文实体,属于形式,be6715edcbe7db8f,形式实体,舟过安仁 → 属于形式 → 诗
8885dc2c72ac,诗文实体,属于形式,be6715edcbe7db8f,形式实体,桑茶坑道中 → 属于形式 → 诗
a24399e7bed5,诗文实体,属于形式,be6715edcbe7db8f,形式实体,幼女词 → 属于形式 → 诗
3a273e3f5ce3,诗文实体,属于形式,be6715edcbe7db8f,形式实体,与小女 → 属于形式 → 诗
bc76e9de6a29,诗文实体,属于形式,be6715edcbe7db8f,形式实体,娇女诗 → 属于形式 → 诗
8f1d615d5718,诗文实体,属于形式,be6715edcbe7db8f,形式实体,风鸢图诗 → 属于形式 → 诗
89fc3d5f7605,诗文实体,属于形式,be6715edcbe7db8f,形式实体,巴女谣 → 属于形式 → 诗
ab4c59a7716d,诗文实体,属于形式,be6715edcbe7db8f,形式实体,牧童词 → 属于形式 → 诗
cde41ad07241,诗文实体,属于形式,be6715edcbe7db8f,形式实体,观村童戏溪上 → 属于形式 → 诗
3aed26d1fa99,诗文实体,属于形式,be6715edcbe7db8f,形式实体,春江花月夜 → 属于形式 → 诗
6b30455fdd3c,诗文实体,属于形式,c809738f22126c36,形式实体,定风波·莫听穿林打叶声 → 属于形式 → 词
69a11cbab0b4,诗文实体,属于形式,c809738f22126c36,形式实体,蝶恋花·春景 → 属于形式 → 词
af218ed70405,诗文实体,属于形式,be6715edcbe7db8f,形式实体,钱塘湖春行 → 属于形式 → 诗
d48451f00541,诗文实体,属于形式,be6715edcbe7db8f,形式实体,春夜喜雨 → 属于形式 → 诗
0ccd54b5b58a,诗文实体,属于形式,be6715edcbe7db8f,形式实体,临安春雨初霁 → 属于形式 → 诗
8ec950bd1395,诗文实体,属于形式,be6715edcbe7db8f,形式实体,鸟鸣涧 → 属于形式 → 诗
33cbdb2cf9b3,诗文实体,属于形式,be6715edcbe7db8f,形式实体,江南春 → 属于形式 → 诗
9da2f1321a19,诗文实体,属于形式,c809738f22126c36,形式实体,青玉案·凌波不过横塘路 → 属于形式 → 词
ba4626c44270,诗文实体,属于形式,be6715edcbe7db8f,形式实体,春日 → 属于形式 → 诗
84b5b3488790,诗文实体,属于形式,be6715edcbe7db8f,形式实体,惠崇春江晚景二首 → 属于形式 → 诗
1443f4f57a9d,诗文实体,属于形式,c809738f22126c36,形式实体,摸鱼儿·更能消几番风雨 → 属于形式 → 词
03b34d6fdc1b,诗文实体,属于形式,be6715edcbe7db8f,形式实体,绝句二首 → 属于形式 → 诗
9936770100ef,诗文实体,属于形式,be6715edcbe7db8f,形式实体,咏柳 → 属于形式 → 诗
425fb837c387,诗文实体,属于形式,be6715edcbe7db8f,形式实体,村居 → 属于形式 → 诗
8005cc89b888,诗文实体,属于形式,c809738f22126c36,形式实体,行香子·树绕村庄 → 属于形式 → 词
825b9a76cf06,诗文实体,属于形式,c809738f22126c36,形式实体,清平乐·别来春半 → 属于形式 → 词
a31b957aba53,诗文实体,属于形式,be6715edcbe7db8f,形式实体,游园不值 → 属于形式 → 诗
f090d65212f4,诗文实体,属于形式,c809738f22126c36,形式实体,西江月·夜行黄沙道中 → 属于形式 → 词
31dd7d07323c,诗文实体,属于形式,be6715edcbe7db8f,形式实体,小池 → 属于形式 → 诗
3ab4125fd0f1,诗文实体,属于形式,be6715edcbe7db8f,形式实体,晓出净慈寺送林子方 → 属于形式 → 诗
c1537124e930,诗文实体,属于形式,be6715edcbe7db8f,形式实体,约客 → 属于形式 → 诗
796882166eaf,诗文实体,属于形式,be6715edcbe7db8f,形式实体,观刈麦 → 属于形式 → 诗
9d5e3f5ee21f,诗文实体,属于形式,be6715edcbe7db8f,形式实体,四时田园杂兴·其三十一 → 属于形式 → 诗
33efc5ee3157,诗文实体,属于形式,c809738f22126c36,形式实体,喜迁莺·梅雨霁 → 属于形式 → 词
75cc56bf7094,诗文实体,属于形式,be6715edcbe7db8f,形式实体,山亭夏日 → 属于形式 → 诗
8c0328c5fee7,诗文实体,属于形式,c809738f22126c36,形式实体,菩萨蛮·回文夏闺怨 → 属于形式 → 词
9306064f2630,诗文实体,属于形式,be6715edcbe7db8f,形式实体,夏日南亭怀辛大 → 属于形式 → 诗
5de930f96887,诗文实体,属于形式,be6715edcbe7db8f,形式实体,喜晴 → 属于形式 → 诗
09326627a183,诗文实体,属于形式,c809738f22126c36,形式实体,阮郎归·初夏 → 属于形式 → 词
9d3413c92ecb,诗文实体,属于形式,be6715edcbe7db8f,形式实体,江村 → 属于形式 → 诗
3e6f87654d3b,诗文实体,属于形式,be6715edcbe7db8f,形式实体,晚晴 → 属于形式 → 诗
133e29e8a051,诗文实体,属于形式,be6715edcbe7db8f,形式实体,夏日山中 → 属于形式 → 诗
2d549d9a09f4,诗文实体,属于形式,be6715edcbe7db8f,形式实体,夏夜追凉 → 属于形式 → 诗
1ba6bb1f525d,诗文实体,属于形式,fe4ece4d4b1d3c1b,形式实体,天净沙·夏 → 属于形式 → 曲
d20c4a757b39,诗文实体,属于形式,be6715edcbe7db8f,形式实体,江楼夕望招客 → 属于形式 → 诗
4faf23cacc9f,诗文实体,属于形式,be6715edcbe7db8f,形式实体,客中初夏 → 属于形式 → 诗
eeb217f8cb2d,诗文实体,属于形式,be6715edcbe7db8f,形式实体,登高 → 属于形式 → 诗
8e9ecc95d6a4,诗文实体,属于形式,be6715edcbe7db8f,形式实体,茅屋为秋风所破歌 → 属于形式 → 诗
9dcf133d25cc,诗文实体,属于形式,fe4ece4d4b1d3c1b,形式实体,天净沙·秋思 → 属于形式 → 曲
0bfac067dd8e,诗文实体,属于形式,c809738f22126c36,形式实体,苏幕遮·怀旧 → 属于形式 → 词
4995f2f0581b,诗文实体,属于形式,be6715edcbe7db8f,形式实体,秋词二首·其一 → 属于形式 → 诗
